시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
외오천마을회관,마을회관및경로당,전라북도 진안군 진안읍 외오천길 8,전라북도 진안군 진안읍 오천리 818-1,35.77477337,127.5027197,영업,,2007-01-18,86,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
외후사마을회관,마을회관및경로당,전라북도 진안군 진안읍 외후사길 57,전라북도 진안군 진안읍 운산리 1322-1,35.82019926,127.4412209,영업,,2007-02-05,82,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
용지마을회관,마을회관및경로당,전라북도 진안군 진안읍 용지동길 5,전라북도 진안군 진안읍 연장리 616-25,35.7730714,127.3844334,영업,,2000-02-12,86,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
우화1동회관,마을회관및경로당,전라북도 진안군 진안읍 우화1길 6,전라북도 진안군 진안읍 군상리 359,35.79145323,127.4277724,영업,,2009-11-27,124,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
우화2동경로당,경로당,전라북도 진안군 진안읍 시장2길 8-5,전라북도 진안군 진안읍 군상리 450-8,35.79270181,127.4306304,영업,,1976-03-18,57,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
우화3동경로당,경로당,전라북도 진안군 진안읍 우화4길 30-4 105호(쌍용A),전라북도 진안군 진안읍 군상리 288-3,35.7918622484,127.4342176177,영업,,1992-06-23,70,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
도곡,경로당,서울특별시 강남구 논현로26길 34,서울특별시 강남구 도곡동 455,37.483312,127.045188,영업,,1991-12-03,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
도곡쌍용예가㉵,경로당,"서울특별시 강남구 남부순환로363길 30, 102동 지하","서울특별시 강남구 도곡동 902-8, 102동 지하",37.4876194529,127.0381971771,영업,,2012-10-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
도곡1동,경로당,서울특별시 강남구 남부순환로355길 22,서울특별시 강남구 도곡동 950-10,37.4863938952,127.035631,영업,,1998-05-08,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
도곡우성㉵,경로당,서울특별시 강남구 남부순환로363길 49,서울특별시 강남구 도곡동 934-10,37.4879756789,127.0371690864,영업,,1989-06-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
역말,경로당,서울특별시 강남구 논현로58길 33,서울특별시 강남구 도곡동 542-7,37.4928607191,127.043821,영업,,2004-04-19,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
테헤란아이파크㉵ 실버클럽,경로당,서울특별시 강남구 테헤란로52길 16,서울특별시 강남구 역삼동 709-5 1층,37.502438,127.0463814067,영업,,2021-08-17,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
역삼시니어하우스,경로당,"서울특별시 강남구 언주로 79길 30-3, 1층지1층","서울특별시 강남구 역삼동 724-5, 1층지1층",37.4989876243,127.041419,영업,,2013-11-01,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
역삼2차아이파크㉵,경로당,서울특별시 강남구 도곡로57길 12,서울특별시 강남구 역삼동 765-32,37.4966993800,127.0512216877,영업,,2011-07-20,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
개나리푸르지오㉵,경로당,서울특별시 강남구 역삼로 314,서울특별시 강남구 역삼동 755-1,37.4996151321,127.0493026359,영업,,2007-03-29,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
역삼복지,경로당,서울특별시 강남구 언주로70길 18,서울특별시 강남구 역삼동 760-3,37.4971107776,127.04711,영업,,1999-01-20,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
한스빌,경로당,서울특별시 강남구 도곡로3길26,서울특별시 강남구 역삼동 836,37.4919829893,127.0329559942,영업,,2022-12-09,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
역삼회,경로당,서울특별시 강남구 역삼로18길 22,서울특별시 강남구 역삼동 792-19,37.493446,127.036549,영업,,2013-04-18,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
역삼중앙,경로당,서울특별시 강남구 도곡로21길 7,서울특별시 강남구 역삼동 795-25,37.492502,127.0388717349,영업,,2004-09-02,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
상방교,경로당,서울특별시 강남구 봉은사로24길 70,서울특별시 강남구 역삼동 632-13,37.5023886492,127.031886,영업,,1989-06-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
하방교,경로당,서울특별시 강남구 역삼로11길 9-7,서울특별시 강남구 역삼동 752-11,37.4952922872,127.034524,영업,,1998-10-27,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
선정,경로당,서울특별시 강남구 선릉로105길 5,서울특별시 강남구 역삼동 683-19,37.508268,127.044265,영업,,1993-11-25,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
테헤란,경로당,서울특별시 강남구 언주로97길 27-4,서울특별시 강남구 역삼동 672-19,37.504638,127.039049,영업,,1995-05-08,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
한티,경로당,서울특별시 강남구 선릉로76길 11,서울특별시 강남구 대치동 899-25,37.5016702705,127.0515450208,영업,,1993-06-11,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
대치4,경로당,서울특별시 강남구 도곡로77길 22,서울특별시 강남구 대치동 929-10,37.4998255311,127.0581840198,영업,,1989-06-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
우성1차㉵,경로당,서울특별시 강남구 영동대로 230,서울특별시 강남구 대치동 63,37.5009601493,127.0684712099,영업,,1989-06-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
대치르엘경로당,경로당,서울특별시 강남구 도곡로 93길23,서울특별시 강남구 대치동 977,37.5017612814,127.0650380081,영업,,2022-06-21,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
미도㉵,경로당,서울특별시 강남구 삼성로 150,서울특별시 강남구 대치동 511,37.4957172769,127.0686391009,영업,,1989-06-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
대치SK VIEW㉵,경로당,서울특별시 강남구 삼성로51길 25,서울특별시 강남구 대치동 612,37.4959078867,127.0609998111,영업,,2018-08-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
래미안대치팰리스2단지㉵,경로당,서울특별시 강남구 삼성로51길 35,서울특별시 강남구 대치동 1028,37.4949055701,127.0601930610,영업,,2017-02-06,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
래미안대치팰리스1단지㉵,경로당,서울특별시 강남구 삼성로 51길 37,서울특별시 강남구 대치동 1027,37.4934361918,127.0576976826,영업,,2017-04-17,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
대치I PARK㉵,경로당,서울특별시 강남구 선릉로 222,서울특별시 강남구 대치동 888,37.4958669797,127.0547490943,영업,,2008-03-20,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
대치현대㉵,경로당,서울특별시 강남구 삼성로 64길 5,서울특별시 강남구 대치동 974,37.5004468659,127.0605133701,영업,,1999-11-02,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
쌍용제2차㉵,경로당,서울특별시 강남구 영동대로 220,서울특별시 강남구 대치동 65,37.4999239843,127.0706276718,영업,,1989-06-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
쌍용제1차㉵,경로당,서울특별시 강남구 영동대로 210,서울특별시 강남구 대치동 66,37.4988556676,127.0713670519,영업,,1989-06-30,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
대치,경로당,서울특별시 강남구 역삼로90길 18,서울특별시 강남구 대치동 971-15,37.502827,127.0619919601,영업,,1998-05-02,,서울특별시 강남구청,2023-07-07,3220000,서울특별시 강남구
용석5리마을회관,마을회관,강원특별자치도 영월군 금용길 430,강원특별자치도 영월군 주천면 용석리 1058-3,37.23221235,128.2830426,영업,033-370-2439,2012-01-01,126.42,용석5리마을회,2023-07-12,4271000,강원특별자치도 영월군
무릉1리마을회관,마을회관,강원특별자치도 영월군 중방안길 71-3,강원특별자치도 영월군 무릉도원면 무릉리 897,37.28910703,128.2687253,영업,033-370-2439,1998-01-01,167.88,무릉1리마을회,2023-07-12,4271000,강원특별자치도 영월군
무릉2리마을회관,마을회관,강원특별자치도 영월군 아래골길 111,강원특별자치도 영월군 무릉도원면 무릉리 265,37.30073517,128.2808663,영업,033-370-2439,2022-01-01,109.36,무릉2리마을회,2023-07-12,4271000,강원특별자치도 영월군
무릉3리마을회관,마을회관,강원특별자치도 영월군 무릉법흥로 286-3,강원특별자치도 영월군 무릉도원면 무릉리 1102-7,37.29883342,128.2642406,영업,033-370-2439,1997-01-01,163.2,무릉3리마을회,2023-07-12,4271000,강원특별자치도 영월군
법흥2리마을회관,마을회관,강원특별자치도 영월군 무릉법흥로 1062,강원특별자치도 영월군 무릉도원면 법흥리 92-1,37.35135762,128.2784715,영업,033-370-2439,2009-01-01,144.1,법흥2리마을회,2023-07-12,4271000,강원특별자치도 영월군
도원1리마을회관,마을회관,강원특별자치도 영월군 도원안길 19-1,강원특별자치도 영월군 무릉도원면 도원리 606-3,37.29394011,128.2424376,영업,033-370-2439,1989-01-01,187.55,도원1리마을회,2023-07-12,4271000,강원특별자치도 영월군
운학1리마을회관,마을회관,강원특별자치도 영월군 덕은골길 6,강원특별자치도 영월군 무릉도원면 운학리 834-4,37.32731164,128.1896146,영업,033-370-2439,1992-01-01,241.59,운학1리마을회,2023-07-12,4271000,강원특별자치도 영월군
운학2리마을회관,마을회관,강원특별자치도 영월군 고일길 13,강원특별자치도 영월군 무릉도원면 운학리 627-1,37.34554058,128.1956952,영업,033-370-2439,1998-01-01,123.5,운학2리마을회,2023-07-12,4271000,강원특별자치도 영월군
운학3리마을회관,마을회관,강원특별자치도 영월군 도원운학로 2053,강원특별자치도 영월군 무릉도원면 운학리 1454-1,37.37339481,128.1891684,영업,033-370-2439,1999-01-01,91.62,운학3리마을회,2023-07-12,4271000,강원특별자치도 영월군
두산1리마을회관,마을회관,강원특별자치도 영월군 두산길 239,강원특별자치도 영월군 무릉도원면 두산리 416,37.3082146,128.1701347,영업,033-370-2439,2001-01-01,134,두산1리마을회,2023-07-12,4271000,강원특별자치도 영월군
두산2리마을회관,마을회관,강원특별자치도 영월군 황정길 8,강원특별자치도 영월군 무릉도원면 두산리 732,37.30442315,128.155105,영업,033-370-2439,2011-01-01,104.23,두산2리마을회,2023-07-12,4271000,강원특별자치도 영월군
두산3리마을회관,마을회관,강원특별자치도 영월군 두덕골길 3,강원특별자치도 영월군 무릉도원면 두산리 78-4,37.31172967,128.1886946,영업,033-370-2439,2016-01-01,124.19,두산3리마을회,2023-07-12,4271000,강원특별자치도 영월군
영흥3리경로당,경로당,강원특별자치도 영월군 단종로 9번길 33,강원특별자치도 영월군 영월읍 영흥리 947-18,37.18411498,128.4665668,영업,033-370-2315,2002-06-01,135.51,영흥3리마을회,2023-07-12,4271000,강원특별자치도 영월군
중앙경로당(영월),경로당,강원특별자치도 영월군 관풍헌길 86,강원특별자치도 영월군 영월읍 영흥리 991-3,37.18555166,128.4704272,영업,033-370-2315,2018-09-11,121.11,영흥5리마을회,2023-07-12,4271000,강원특별자치도 영월군
봉래경로당,경로당,강원특별자치도 영월군 단종로16번길 61-12,강원특별자치도 영월군 영월읍 영흥리 830-2,37.18565891,128.4716511,영업,033-370-2315,1983-09-01,51.32,영흥8리마을회,2023-07-12,4271000,강원특별자치도 영월군
능동경로당,경로당,강원특별자치도 영월군 단종로 175,강원특별자치도 영월군 영월읍 영흥리1097-38,37.19480473,128.4566103,영업,033-370-2315,1992-09-01,166.5,영흥12리마을회,2023-07-12,4271000,강원특별자치도 영월군
삼호경로당,경로당,강원특별자치도 영월군 단종로 88,강원특별자치도 영월군 영월읍 영흥리 1049-125,37.19081218,128.4646016,영업,033-370-2315,2009-10-01,86.95,삼호아파트입주자대표회,2023-07-12,4271000,강원특별자치도 영월군
영월코아루에듀타운아파트경로당,경로당,강원특별자치도 영월군 봉래산로 114,강원특별자치도 영월군 영월읍 영흥리 1137,37.19318767,128.473567,영업,033-370-2315,2023-05-17,125.61,영월코아루에듀타운아파트입주자대표회,2023-07-12,4271000,강원특별자치도 영월군
