시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
금성경로당,경로당,전라북도 익산시 함열읍 금성길 5,전라북도 익산시 함열읍 와리 326-1,36.0861885,126.9657257288,영업,,2014-07-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신흥촌경로당,경로당,전라북도 익산시 함열읍 남당길 44-5,전라북도 익산시 함열읍 남당리 618-23,36.0791909,126.9711896242,영업,,2003-06-04,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
하조경로당,경로당,전라북도 익산시 함열읍 남당길 48,전라북도 익산시 함열읍 남당리 618-31,36.0793737911,126.9719759,영업,,2004-02-10,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
남당경로당,경로당,전라북도 익산시 함열읍 남당길 67,전라북도 익산시 함열읍 남당리 352,36.0785739,126.9740368535,영업,,1986-08-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함열방교경로당,경로당,전라북도 익산시 함열읍 다송방교길 11,전라북도 익산시 함열읍 다송리 296-4,36.0435448,126.9569966470,영업,,2008-08-29,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
다송경로당,경로당,전라북도 익산시 함열읍 다송방교길 61,전라북도 익산시 함열읍 다송리 408-10,36.0418711229,126.9541070421,영업,,1981-06-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함열동신경로당,경로당,전라북도 익산시 함열읍 동신길 14,전라북도 익산시 함열읍 남당리 187-7,36.0753044,126.9790156061,영업,,1987-05-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
동지상경로당,경로당,전라북도 익산시 함열읍 동지상1길 13,전라북도 익산시 함열읍 와리 473-1,36.0869306,126.9584299665,영업,,2004-06-22,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
두라마을경로당,경로당,전라북도 익산시 함열읍 두라길 42,전라북도 익산시 함열읍 석매리 491-14,36.0653781,126.9616381277,영업,,2002-03-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
매교경로당,경로당,전라북도 익산시 함열읍 매교길 19,전라북도 익산시 함열읍 석매리 215-4,36.0502171,126.9631733538,영업,,1997-01-20,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
미력경로당,경로당,전라북도 익산시 함열읍 미력길 9,전라북도 익산시 함열읍 와리 660-16,36.0745083,126.9595330841,영업,,1973-08-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
박전경로당,경로당,전라북도 익산시 함열읍 박전1길 16-6,전라북도 익산시 함열읍 다송리 276,36.0416922,126.9602694191,영업,,2008-06-30,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
삼양경로당,경로당,전라북도 익산시 함열읍 삼양길 3,전라북도 익산시 함열읍 와리 372-5,36.0913877,126.9592617719,영업,,2004-12-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상마경로당,경로당,전라북도 익산시 함열읍 상마1길 20-1,전라북도 익산시 함열읍 다송리 140-3,36.0339653,126.9655787268,영업,,2009-04-06,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상조경로당,경로당,전라북도 익산시 함열읍 상조길 33,전라북도 익산시 함열읍 남당리 661-3,36.0771632,126.9698386296,영업,,2004-03-09,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상지원경로당,경로당,전라북도 익산시 함열읍 상지원길 67,전라북도 익산시 함열읍 석매리 116-15,36.0452483027,126.9761455042,영업,,1994-01-13,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
석치경로당,경로당,전라북도 익산시 함열읍 석매석치길 86,전라북도 익산시 함열읍 석매리 873-1,36.0576949516,126.9560551698,영업,,1974-08-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
현대화시장경로당,경로당,전라북도 익산시 함열읍 와리2길 8,전라북도 익산시 함열읍 와리 544-34,36.0808054,126.9585224388,영업,,2007-02-21,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
와리경로당,경로당,전라북도 익산시 함열읍 와리3길 38,전라북도 익산시 함열읍 와리 568-1,36.0813531,126.9610033170,영업,,1977-08-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
장구2경로당,경로당,전라북도 익산시 함열읍 와리4길 13-4,전라북도 익산시 함열읍 와리 314-8,36.0827233828,126.9627626,영업,,2004-03-09,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
동지경로당,경로당,전라북도 익산시 함열읍 와리들길 145,전라북도 익산시 함열읍 와리 1266,36.0860802,126.9543868203,영업,,1991-05-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
와야경로당,경로당,전라북도 익산시 함열읍 와야길 25-2,전라북도 익산시 함열읍 다송리 621,36.0426543,126.9506855018,영업,,1978-05-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
용왕경로당,경로당,전라북도 익산시 함열읍 용왕길 18,전라북도 익산시 함열읍 석매리 369-31,36.0623371135,126.9665160355,영업,,1961-05-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
대지경로당,경로당,전라북도 익산시 함열읍 용지1길 109,전라북도 익산시 함열읍 용지리 240,36.0500789041,126.9503586037,영업,,2004-12-27,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
소지경로당,경로당,전라북도 익산시 함열읍 용지1길 33-13,전라북도 익산시 함열읍 용지리 55-1,36.0473553,126.9516571877,영업,,2003-02-20,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함열장등경로당,경로당,전라북도 익산시 함열읍 장등길 38,전라북도 익산시 함열읍 흘산리 80-1,36.0679328117,126.9826667311,영업,,2000-10-16,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
정동경로당,경로당,전라북도 익산시 함열읍 정동길 31,전라북도 익산시 함열읍 와리 1217-5,36.0710891703,126.9637390971,영업,,2003-02-20,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
정자경로당,경로당,전라북도 익산시 함열읍 정자길 122,전라북도 익산시 함열읍 남당리 557-1,36.0850938654,126.9757900604,영업,,1981-06-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
학선여자경로당,경로당,전라북도 익산시 함열읍 학선길 40,전라북도 익산시 함열읍 흘산리 362-3,36.0543494,126.9764880285,영업,,1994-06-18,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
학선경로당,경로당,전라북도 익산시 함열읍 학선길 6,전라북도 익산시 함열읍 흘산리 286-12,36.0541817,126.9738894772,영업,,1997-12-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함열경로당,경로당,전라북도 익산시 함열읍 함열1길 79,전라북도 익산시 함열읍 와리 545-102,36.0828674812,126.9573473826,영업,,1972-07-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
장구1경로당,경로당,전라북도 익산시 함열읍 함열3길 58,전라북도 익산시 함열읍 와리 521-2,36.0839935313,126.9612520465,영업,,2005-02-25,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
탄동경로당,경로당,전라남도 신안군 지도읍 탄동길 58-8,전라남도 신안군 지도읍 탄동리 341-1,35.04632053,126.1712693,영업,,2001-02-14,71,전라남도 신안군청,2023-06-05,5010000,전라남도 신안군
함열제일@경로당,경로당,전라북도 익산시 함열읍 함열5길 19-21,전라북도 익산시 함열읍 와리 163,36.0746531582,126.9623182567,영업,,2003-12-11,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함열휴먼시아1단지경로당,경로당,전라북도 익산시 함열읍 함열5길 28,전라북도 익산시 함열읍 와리 1539,36.0759791661,126.9633171009,영업,,2011-04-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상시마을 경로당,경로당,전라북도 익산시 함열읍 함열7길 33,전라북도 익산시 함열읍 와리 233-3,36.0807971769,126.9647801413,영업,,2002-03-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
멀메경로당,경로당,전라북도 익산시 함열읍 흘산로 511-4,전라북도 익산시 함열읍 흘산리 169-2,36.0618001027,126.9828769708,영업,,1999-06-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함열신호e플러스@경로당,경로당,전라북도 익산시 함열읍 함열중앙로 38(함열 신호 e플러스 아파트),전라북도 익산시 함열읍 와리 615-9,36.0783024189,126.9615670248,영업,,2023-02-20,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
가장경로당,경로당,전라북도 익산시 오산면 가장길 10-5,전라북도 익산시 오산면 장신리 613-1,35.9496603,126.9215918964,영업,,2006-10-10,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
광양경로당,경로당,전라북도 익산시 오산면 광양2길 14,전라북도 익산시 오산면 송학리 762,35.9433043,126.9209999613,영업,,1997-12-16,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
오산학동경로당,경로당,전라북도 익산시 오산면 군익로2길 16-15,전라북도 익산시 오산면 송학리 617-1,35.9442354561,126.9284219719,영업,,1999-12-30,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
금몽경로당,경로당,전라북도 익산시 오산면 금몽길 20-6,전라북도 익산시 오산면 남전리 367-1,35.9324592402,126.8911873561,영업,,2006-02-28,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
월포경로당,경로당,전라북도 익산시 오산면 남오산1길 229,전라북도 익산시 오산면 신지리 689-10,35.9146574266,126.8692566929,영업,,2013-12-26,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
영성경로당,경로당,전라북도 익산시 오산면 남전1길 128,전라북도 익산시 오산면 신지리 373-3,35.9200758712,126.8890245,영업,,1995-10-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
북참경로당,경로당,전라북도 익산시 오산면 남전1길 68,전라북도 익산시 오산면 남전리 75-13,35.9245920914,126.8909782996,영업,,1996-01-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
남참경로당,경로당,전라북도 익산시 오산면 남참길 20-1,전라북도 익산시 오산면 남전리 557-1,35.9171782,126.8907094434,영업,,2010-03-16,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
농흥경로당,경로당,전라북도 익산시 오산면 농흥1길 17-5,전라북도 익산시 오산면 오산리 777-1,35.9423838334,126.8992622585,영업,,1999-12-30,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
영만경로당,경로당,전라북도 익산시 오산면 만석길 163,전라북도 익산시 오산면 영만리 9-3,35.9719699,126.9152581413,영업,,1983-01-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
만신경로당,경로당,전라북도 익산시 오산면 만신길 17-1,전라북도 익산시 오산면 영만리 24-9,35.9667015252,126.9136897669,영업,,2016-01-06,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
문화마을경로당,경로당,전라북도 익산시 오산면 문화마을1길 4,전라북도 익산시 오산면 신지리 854,35.9210374022,126.8767250124,영업,,1978-01-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
회복경로당,경로당,전라북도 익산시 오산면 번영로1길 83,전라북도 익산시 오산면 목천리 928-13,35.9135017749,126.9156661137,영업,,2009-10-19,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
북신석경로당,경로당,전라북도 익산시 오산면 북신석길 2,전라북도 익산시 오산면 신지리 70-27,35.9328601,126.8804814704,영업,,2010-10-14,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
장신휴먼시아1단지경로당,경로당,전라북도 익산시 오산면 선화로4길 66,전라북도 익산시 오산면 장신리 1130,35.9455326441,126.9312495979,영업,,2011-06-23,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
장신휴먼시아2단지경로당,경로당,전라북도 익산시 오산면 선화로4길 24-9,전라북도 익산시 오산면 장신리 1127,35.9489843432,126.9325808759,영업,,2011-03-23,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
장신휴먼시아3단지경로당,경로당,전라북도 익산시 오산면 선화로4길 14,전라북도 익산시 오산면 장신리 1126,35.9511356475,126.9329774108,영업,,2011-01-04,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신교경로당,경로당,전라북도 익산시 오산면 신교1길 19-11,전라북도 익산시 오산면 목천리 655-30,35.9126544,126.9220048933,영업,,2014-06-11,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신석경로당,경로당,전라북도 익산시 오산면 신석길 14-2,전라북도 익산시 오산면 신지리 186-1,35.9315904,126.8804960584,영업,,1997-03-25,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신오산경로당,경로당,전라북도 익산시 오산면 신오산길 46-5,전라북도 익산시 오산면 오산리 210-23,35.9289619,126.9097141393,영업,,2005-09-15,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신중경로당,경로당,전라북도 익산시 오산면 신중길 71,전라북도 익산시 오산면 오산리 490,35.9444447119,126.9087390750,영업,,2008-08-21,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
야전마을경로당,경로당,전라북도 익산시 오산면 야전길 9,전라북도 익산시 오산면 남전리 21-1,35.9280724,126.8989558997,영업,,2015-01-12,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상아경로당,경로당,전라북도 익산시 오산면 오산3길 13-2,전라북도 익산시 오산면 장신리 717,35.9438755,126.9137387604,영업,,2010-12-22,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
모산경로당,경로당,전라북도 익산시 오산면 오산들길 82,전라북도 익산시 오산면 오산리 620-14,35.9500479,126.8881274285,영업,,2005-12-26,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
옥포경로당,경로당,전라북도 익산시 오산면 옥포2길 40-2,전라북도 익산시 오산면 신지리 549,35.9201301202,126.8629272328,영업,,1996-01-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
외검경로당,경로당,전라북도 익산시 오산면 외검길 35,전라북도 익산시 오산면 장신리 885-114,35.9539063,126.9193773685,영업,,1996-10-17,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
용곤경로당,경로당,전라북도 익산시 오산면 용곤길 54-1,전라북도 익산시 오산면 장신리 264-40,35.958125,126.9247379360,영업,,1997-03-25,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
고사경로당,경로당,전라남도 신안군 지도읍 두류산길 121,전라남도 신안군 지도읍 감정리 607-8,35.06899577,126.1878013,영업,,2001-02-14,87,전라남도 신안군청,2023-06-05,5010000,전라남도 신안군
원오산경로당,경로당,전라북도 익산시 오산면 원오산길 22,전라북도 익산시 오산면 오산리 172-9,35.9355898398,126.9146404085,영업,,2005-08-31,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신동리부녀경로당,경로당,전라북도 익산시 오산면 전동길 11-1,전라북도 익산시 오산면 남전리 163-1,35.9169579,126.9038551079,영업,,1961-01-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
청수경로당,경로당,전라북도 익산시 오산면 청수1길 18,전라북도 익산시 오산면 영만리 951-70,35.9584342,126.9048174099,영업,,2000-12-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
서오산경로당,경로당,전라북도 익산시 오산면 평동로 248-5,전라북도 익산시 오산면 오산리 308-10,35.9382335,126.9082614816,영업,,1998-01-14,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
오산중앙경로당,경로당,전라북도 익산시 오산면 평동로 295-23,전라북도 익산시 오산면 오산리 430-22,35.938927,126.9121290557,영업,,1961-01-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
오산경로당,경로당,전라북도 익산시 오산면 항쟁로 173-11,전라북도 익산시 오산면 영만리 43-1,35.9579490206,126.9086559237,영업,,1997-09-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신동리경로당,경로당,전라북도 익산시 오산면 후동길 2,전라북도 익산시 오산면 남전리 42-58,35.9191092,126.9029194833,영업,,1992-01-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
시동1구경로당,경로당,전라북도 익산시 황등면 황등10길 8,전라북도 익산시 황등면 황등리 581-2,36.0063665,126.9469647663,영업,,2016-10-27,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
시동경로당,경로당,전라북도 익산시 황등면 황금로 23-3,전라북도 익산시 황등면 황등리 645-7,36.0084087,126.9458717893,영업,,2002-01-14,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황룡경로당,경로당,전라북도 익산시 황등면 황등9길 8-5,전라북도 익산시 황등면 황등리 804,36.0071037533,126.9435684561,영업,,1982-06-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등시서2경로당,경로당,전라북도 익산시 황등면 황등8길 6,전라북도 익산시 황등면 황등리 921-20,36.0047291,126.9439171910,영업,,2002-07-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등청송경로당,경로당,전라북도 익산시 황등면 황등6길 52,전라북도 익산시 황등면 황등리 464-94,36.0051559984,126.9452963718,영업,,1991-04-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
시북 경로당,경로당,전라북도 익산시 황등면 황등11길 13,전라북도 익산시 황등면 황등리 850-4,36.0085413,126.9439085073,영업,,2004-01-19,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
차상경로당,경로당,전라북도 익산시 황등면 차상길 9,전라북도 익산시 황등면 황등리 369,36.0011420673,126.9497872679,영업,,1998-04-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
차하경로당,경로당,전라북도 익산시 황등면 차하길 27,전라북도 익산시 황등면 황등리 430-1,36.0036513,126.9492107273,영업,,2002-12-02,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
거성@경로당,경로당,전라북도 익산시 황등면 황등3길 10-12,전라북도 익산시 황등면 황등리 999-71,35.9989878,126.9441027315,영업,,2008-10-21,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
대영@경로당,경로당,전라북도 익산시 황등면 황등3길 6,전라북도 익산시 황등면 황등리 1038,35.9987442522,126.9446814920,영업,,2004-12-22,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등경로당,경로당,전라북도 익산시 황등면 황등4길 4-4,전라북도 익산시 황등면 황등리 229-2,35.9987989,126.9462728860,영업,,1965-04-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
보삼3구경로당,경로당,전라북도 익산시 황등면 황등로 58-9,전라북도 익산시 황등면 황등리 231-7,35.9986578367,126.9469036950,영업,,1997-12-19,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
보삼경로당,경로당,전라북도 익산시 황등면 황등5길 18-5,전라북도 익산시 황등면 황등리 355-4,36.0004365847,126.9464599718,영업,,1994-05-09,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등우남@경로당,경로당,전라북도 익산시 황등면 황등로 44,전라북도 익산시 황등면 황등리 257-4,35.9970968029,126.9485435891,영업,,2009-07-14,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
진성@경로당,경로당,전라북도 익산시 황등면 황등3길 37,전라북도 익산시 황등면 황등리 122-1,35.9963192647,126.9446010053,영업,,2007-02-16,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
해담아파트경로당,경로당,전라북도 익산시 황등면 황등3길 15,전라북도 익산시 황등면 황등리 1043-2,35.9976975,126.9450483478,영업,,2001-06-29,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신기마을경로당,경로당,전라북도 익산시 황등면 황등1길 25,전라북도 익산시 황등면 황등리 208-8,35.99512,126.9461165617,영업,,1998-10-12,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
백길경로당,경로당,전라북도 익산시 황등면 백길 17,전라북도 익산시 황등면 황등리 1084-4,35.9963392573,126.9420888991,영업,,2005-12-23,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황방경로당,경로당,전라북도 익산시 황등면 황방2길 17-1,전라북도 익산시 황등면 황등리 973-8,36.0031661557,126.9418264767,영업,,2007-01-17,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등방교경로당,경로당,전라북도 익산시 황등면 방교길 21,전라북도 익산시 황등면 황등리 1224,36.0006998877,126.9365847793,영업,,1995-06-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
상동마을경로당,경로당,전라북도 익산시 황등면 동연4길 73-12,전라북도 익산시 황등면 동연리 46-34,36.0062093,126.9399530497,영업,,2016-10-24,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
동련경로당,경로당,전라북도 익산시 황등면 동연1길 63-11,전라북도 익산시 황등면 동연리 326-5,36.0085950883,126.9334963946,영업,,1989-02-05,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
부평신야경로당,경로당,전라북도 익산시 황등면 신야길 6,전라북도 익산시 황등면 신기리 484-32,36.0007083,126.9213489991,영업,,2002-12-02,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
죽촌경로당,경로당,전라북도 익산시 황등면 죽촌2길 44,전라북도 익산시 황등면 죽촌리 311-1,36.0212073,126.9380391144,영업,,1982-06-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
화부경로당,경로당,전라북도 익산시 황등면 화농길 6,전라북도 익산시 황등면 죽촌리 503-8,36.0193646,126.9296376666,영업,,1982-06-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
여성경로당,경로당,전라남도 신안군 지도읍 읍내길 109,전라남도 신안군 지도읍 읍내리 216-1,35.060802,126.2093108,영업,,2000-07-05,87,전라남도 신안군청,2023-06-05,5010000,전라남도 신안군
도촌경로당,경로당,전라북도 익산시 황등면 도촌길 44,전라북도 익산시 황등면 죽촌리 175-20,36.0282981,126.9383051611,영업,,1989-03-03,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황농경로당,경로당,전라북도 익산시 황등면 정착2길 9-8,전라북도 익산시 황등면 죽촌리 3-41,36.031021,126.9472096336,영업,,1982-06-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등신화경로당,경로당,전라북도 익산시 황등면 신성신화길 2,전라북도 익산시 황등면 신성리 346-1,36.0281063718,126.9281773153,영업,,1995-10-20,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등신성경로당,경로당,전라북도 익산시 황등면 시와로 323,전라북도 익산시 황등면 신성리 212-1,36.0321784,126.9240996189,영업,,1976-01-03,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
대성경로당,경로당,전라북도 익산시 황등면 대성길 3,전라북도 익산시 황등면 신성리 594-2,36.0281727,126.9252928076,영업,,2016-09-12,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
구자경로당,경로당,전라북도 익산시 황등면 구자길 87,전라북도 익산시 황등면 구자리 83-5,36.0420519434,126.9257528674,영업,,1995-10-20,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
봉곡경로당,경로당,전라북도 익산시 황등면 봉곡길 19,전라북도 익산시 황등면 구자리 산51-1,36.0513287868,126.9212003587,영업,,1986-03-02,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황교2마을경로당,경로당,전라북도 익산시 황등면 용산로 224,전라북도 익산시 황등면 용산리 438-32,36.042152,126.9365666686,영업,,2016-10-16,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등용산경로당,경로당,전라북도 익산시 황등면 황성로 286,전라북도 익산시 황등면 용산리 570-13,36.050236,126.9354052966,영업,,1982-06-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
소산경로당,경로당,전라북도 익산시 황등면 소산길 59,전라북도 익산시 황등면 용산리 787,36.0542563,126.9397977103,영업,,2006-01-02,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
대동경로당,경로당,전라북도 익산시 황등면 대동1길 20,전라북도 익산시 황등면 용산리 721,36.0536124,126.9361182389,영업,,2008-03-25,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
율동경로당,경로당,전라북도 익산시 황등면 율동2길 12-10,전라북도 익산시 황등면 율촌리 371-1,36.0122409868,126.9525896659,영업,,1982-06-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
신평경로당,경로당,전라북도 익산시 황등면 율촌길 43,전라북도 익산시 황등면 율촌리 148-6,36.0173434,126.9595238655,영업,,1994-05-09,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
황등신기촌경로당,경로당,전라북도 익산시 황등면 신기촌길 85,전라북도 익산시 황등면 율촌리 14-54,36.013409,126.9629560787,영업,,2005-01-14,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
정착2경로당,경로당,전라북도 익산시 황등면 후정1길 77,전라북도 익산시 황등면 율촌리 515-287,36.0258833,126.9533124280,영업,,2012-05-02,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
원신기경로당,경로당,전라북도 익산시 황등면 원신기길 72,전라북도 익산시 황등면 신기리 280-21,35.9952024,126.9337903218,영업,,2009-10-12,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
송하경로당,경로당,전라북도 익산시 황등면 송하동길 25,전라북도 익산시 황등면 신기리 354-1,35.9987505711,126.9335176369,영업,,2015-11-06,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
삼거경로당,경로당,전라북도 익산시 황등면 탑천로 192,전라북도 익산시 황등면 신기리 333,35.9986465,126.9313197139,영업,,1994-07-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
불로마을경로당,경로당,전라북도 익산시 황등면 불로길 9,전라북도 익산시 황등면 신기리 386-39,35.9996807,126.9267082876,영업,,2006-01-26,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
장고경로당,경로당,전라북도 익산시 황등면 장고길 35-7,전라북도 익산시 황등면 신기리 584-38,35.9899888,126.9244148393,영업,,2009-03-24,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
무동경로당,경로당,전라북도 익산시 황등면 무동길 13-1,전라북도 익산시 황등면 구자리 398,36.0359473646,126.9227209637,영업,,2002-05-03,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
간성경로당,경로당,전라북도 익산시 함라면 간성길 26,전라북도 익산시 함라면 금성리 296-62,36.0662375944,126.9217937858,영업,,1997-01-12,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
고월경로당,경로당,전라북도 익산시 함라면 고월길 17-2,전라북도 익산시 함라면 다망리 567-4,36.0176807,126.9125575827,영업,,1988-10-01,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함라금곡경로당,경로당,전라북도 익산시 함라면 금곡길 26-4,전라북도 익산시 함라면 금성리 522-1,36.0678643,126.9151714275,영업,,2004-01-05,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함라연화경로당,경로당,전라북도 익산시 함라면 다망연화길 27,전라북도 익산시 함라면 다망리 728-2,36.0102008195,126.9174098963,영업,,2002-11-08,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
망월경로당,경로당,전라북도 익산시 함라면 망월길 22-21,전라북도 익산시 함라면 다망리 965-5,36.028029,126.9095858293,영업,,2009-12-30,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
소룡경로당,경로당,전라북도 익산시 함라면 소룡길 14,전라북도 익산시 함라면 신목리 1261-1,36.0350670827,126.8770074827,영업,,2003-03-20,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
함라노소경로당,경로당,전라북도 익산시 함라면 수동1길 6,전라북도 익산시 함라면 함열리 495-1,36.0615474929,126.9099212248,영업,,1989-05-28,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
다은경로당,경로당,전라북도 익산시 함라면 시와로 472,전라북도 익산시 함라면 다망리 200-4,36.0349517,126.9118839754,영업,,1997-01-19,,전라북도 익산시청,2023-06-08,4680000,전라북도 익산시
